coderome,a_pourvoir_le,titre_offre,date_publication,des_que_possible_desc,diplome,duree_contrat,nb_postes,numero,created,niveau_formation,experience,commune_emploi,employeur_nom_entreprise,employeur_adresse_correspondance_subdivision,activites_multivalue,competences_multivalue,contact_mail
H2502,2025-04-28,Responsable de production,2025-04-28 11:24:37+00,Dès que possible,,,1,2025-04-021702,2025-04-28 11:24:37+00,"Bac + 3, bac + 4",Au moins 3 ans,Nouméa,RECYF,98800 Nouméa,"Vérifier la conformité de dispositifs de sécurité des personnes et des installations,Apporter une assistance technique,Coordonner l'activité d'une équipe,Planifier des interventions de maintenance,Définir des conditions de stockage,Établir des rapports de production et d'incidents,Contrôler la conformité d'un équipement, d'une machine, d'une installation,Définir des indicateurs de performance,Animer et diriger les équipes de production,Apporter une assistance technique,Établir un rapport de production,Contrôler les systèmes de sécurité,Animer, coordonner une équipe,Déterminer des mesures correctives,Analyser, exploiter, structurer des données,Contrôler les règles de Qualité, Hygiène, Sécurité, Santé et Environnement (QHSSE),Proposer des actions afin d'améliorer la productivité d'une activité,Identifier les dysfonctionnements et les imprévus de production et apporter des solutions,Élaborer des processus et des modes opératoires techniques,Piloter une démarche qualité, un processus d'amélioration continue,Expliquer et faire respecter les règles et procédures,Définir les modalités d'industrialisation des productions,Contrôler l'état des stocks,Piloter la gestion de la production, de l'exploitation,Contrôler la qualité et la conformité d'un produit,Organiser et planifier une activité,Utiliser des méthodes d'organisation du travail,Adapter, planifier et coordonner les phases du processus de production,Suivre et faire évoluer la planification de la production en fonction des flux, délais, approvisionnement, ...,Mettre en place des solutions d'amélioration de la performance,Analyser les risques,Contrôler la conformité d'un produit,Déterminer des actions correctives,Apporter un appui technique aux services qualité, maintenance, méthodes,Contrôler des flux,Contrôler le fonctionnement d'un outil ou équipement,Contrôler et rédiger l'application des consignes,Analyser les données d'activité d'une production,Sensibiliser un public sur les normes Qualité, Sécurité, Environnement (QSE),Contrôler les flux d'entrée ou de sortie,Établir un cahier des charges","Techniques de planification,Efficacité énergétique,Démarche d'amélioration continue,Démarche qualité,Procédures de maintenance,Analyse des risques,Qualité, Hygiène, Sécurité et Environnement (QHSE),Méthodes d'organisation du travail,Organisation de la chaîne logistique,Normes environnementales,Normes qualité,Outils bureautiques,Logiciels de Gestion de Production Assistée Par Ordinateur (GPAO),Gestion de production,Gestion des stocks et des approvisionnements",direction.recyf@outlook.fr
M1607,2025-04-07,Assistant administratif / Assistante administrative,2025-04-07 10:13:48+00,Dès que possible,BTS PMI PME - OU COMPTABLE,3 mois,1,2025-04-021548,2025-04-07 10:07:44+00,Bac +2,Au moins 1 an,Nouméa,Anonyme,,"Renseigner, mettre à jour une documentation technique,Établir, mettre à jour un dossier, une base de données,Utiliser les outils bureautiques,Réaliser la gestion administrative du personnel,Suivre un contrat, vérifier le respect des clauses contractuelles,Rédiger un rapport, un compte rendu d'activité,Organiser la logistique des recrutements et des formations,Réaliser des opérations comptables,Définir des besoins en approvisionnement,Assurer la gestion administrative d'une activité,Organiser des déplacements professionnels,Classer des documents,Organiser le traitement des commandes,Planifier des rendez-vous,Acceuillir, orienter, informer une personne,Archiver des dossiers et documents de référence","Gestion administrative du courrier,Normes rédactionnelles",
D1402,2025-04-07,Attaché commercial / Attachée commerciale en biens de consommation auprès des entreprises,2025-04-07 13:25:32+00,Dès que possible,Commerce / vente,,1,2025-04-021556,2025-04-07 13:25:32+00,Bac +2,Au moins 3 ans,Nouméa,SEDQ,98845 NOUMEA CEDEX,"Assurer un service après-vente,Développer et fidéliser la relation client,Établir un plan de tournée de prospection (ciblage, interlocuteurs, préparation de dossiers techniques),Mettre en oeuvre des actions commerciales et promotionnelles,Élaborer, adapter une proposition commerciale,Utiliser les outils bureautiques,Effectuer le suivi des commandes, la facturation,Lancer et gérer un appel d'offres,Négocier des conditions commerciales,Prospecter de nouveaux clients, de nouveaux marchés,Élaborer une stratégie commerciale","Marketing après-vente,Logiciel de gestion clients,Gestion administrative d'une prospection,Prospection commerciale,Méthodes de plan de prospection",drh@sedq.nc
M1204,2025-04-07,Contrôleur / Contrôleuse de gestion,2025-04-07 11:07:46+00,Dès que possible,,,1,2025-04-021551,2025-04-07 11:07:46+00,"Bac + 3, bac + 4",Au moins 3 ans,Nouméa,MANPOWER PROFESSIONAL NC-MANPOWER BUSINESS,,"Élaborer, suivre et piloter un budget,Définir la stratégie des systèmes d'informations,Mettre en place des solutions d'amélioration de la performance,Conseiller une organisation, une structure,Suivre le système d'informations de gestion,Diriger et gérer un ensemble, une structure, une organisation,Contrôler des indicateurs de performance, analyser et corriger des écarts,Rédiger un rapport, un compte rendu d'activité,Réaliser un suivi de la masse salariale,Réaliser des opérations comptables,Calculer les marges, la rentabilité d'un produit ou d'une activité,Mettre en place des outils d'aide à la décision,Proposer et accompagner des actions de transformation organisationnelle,Superviser une clôture comptable,Élaborer des tableaux de bord,Assurer la gestion administrative d'une activité,Animer, coordonner une équipe,Déterminer des mesures correctives,Superviser le contrôle interne d'une structure,Concevoir un plan prévisionnel d'activité,Identifier les risques liés à une gestion d'entreprise,Piloter la gestion de la production, de l'exploitation",,manon.tui@manpower.nc
J1506,2025-04-07,Infirmier / Infirmière en hémodialyse,2025-04-07 14:36:32+00,Dès que possible,Diplôme d'état infirmier,,1,2025-04-021558,2025-04-07 14:36:32+00,"Bac + 3, bac + 4",Au moins 3 ans,Dumbéa,ATIR-NC,98846 NOUMEA CEDEX,"Désinfecter et décontaminer un équipement,Réaliser ou contrôler les soins d'hygiène, de confort et apporter une aide au patient (lever, marche, soins post opératoires...),Tenir à jour les dossiers médico-administratifs des patients,Informer un patient,Pratiquer une prise en charge de la maladie rénale chronique,Désinfecter et décontaminer un équipement,Assurer la gestion administrative d'une activité,Pratiquer des prises en charge de la douleur,Cerner l'état du patient (clinique, psychologique) et consigner les informations recueillies dans le dossier médical,Pratiquer une hémodialyse,Surveiller l'état de santé d'une personne,Surveiller l'état clinique du patient (constantes, fonctions d'élimination, comportement, ...) et informer l'équipe soignante/médicale sur l'évolution de l'état clinique,Réaliser les soins infirmiers, communiquer avec le patient (ressenti, douleur, ...) et actualiser le dossier de soins infirmiers (incidents, modifications d'état clinique, ...),Réaliser des soins infirmiers","Identification des signes et du degré de la douleur,Charte des droits du patient,Techniques de gestion du stress,Règles d'hygiène et d'asepsie",drh@atir.asso.nc
M1803,2025-03-17,Chef de projet informatique,2025-03-17 14:48:28+00,Dès que possible,MASTER 2 / INGENIEUR : Informatique,,1,2025-03-021355,2025-03-17 14:42:51+00,Bac + 5 et plus,Au moins 5 ans,Nouméa,FONDS SOCIAL DE L'HABITAT,98846 NOUMEA CEDEX,"Concevoir et gérer un projet,Surveiller des évolutions technologiques des systèmes d'information et de télécommunications et proposer des solutions techniques,Superviser un secteur/projet de pilotage de ressources logiques et physiques,Allouer et organiser les ressources d'un projet selon les besoins et contraintes,Communiquer auprès de ses clients internes et externes,Animer, coordonner une équipe,Rédiger un cahier des charges, des spécifications techniques,Expliquer les mesures disponibles et mobiliser les acteurs internes/externes impliqués","Méthode AGILE,Règlement Général européen sur la Protection des Données (RGPD),Procédures qualité et sécurité des systèmes d'information et de télécoms,Réseaux informatiques et télécoms,Technologies informatiques",candidature@fsh.nc
M1602,2025-05-05,Agent administratif / Agente administrative,2025-04-11 14:29:08+00,"",,1 mois,6,2025-04-021594,2025-04-11 14:29:08+00,,Aucune expérience professionnelle,Nouméa,PALAIS DE JUSTICE,NOUMEA CEDEX,"Établir, mettre à jour un dossier, une base de données,Utiliser les outils bureautiques,Réaliser des travaux de reprographie,Numériser des documents, médias ou supports techniques,Corriger et mettre en forme un document,Contrôler la conformité des données ou des documents,Acceuillir, orienter, informer une personne",,chg.tpi-noumea@justice.fr
G1602,2025-04-08,Commis / Commise de cuisine,2025-04-08 09:46:23+00,Dès que possible,CUISINE,3 mois,1,2025-04-021560,2025-04-08 09:46:23+00,"CAP, BEP",Au moins 1 an,Bourail,LA RESTAURATION BOURAILLAISE,98870 BOURAIL,"Préparer des ustensiles de cuisine,Respecter les règles de Qualité, Hygiène, Sécurité, Santé et Environnement (QHSSE),Préparer des plats cuisinés,Cuisiner des sauces,Entretenir, nettoyer un espace, un lieu, un local,Cuire des viandes, poissons ou légumes,Éplucher des légumes et des fruits,Lutter contre le gaspillage alimentaire,Dresser des plats pour le service,Manipuler des équipements de cuisine,Préparer les viandes et les poissons","Chaîne du froid,Procédures de nettoyage et de désinfection,Types de produits traiteurs,Modes de cuisson des aliments,Types de viande,Utilisation de four (à chaleur tournante, à air pulsé, ...),Règles d'hygiène et de sécurité alimentaire,Procédures de la marche en avant",direction@lrb.nc
G1402,2025-03-20,Responsable de restaurant,2025-03-20 09:02:40+00,Dès que possible,Restauration / Patisserie,,1,2025-03-021376,2025-03-20 09:02:40+00,"CAP, BEP",Au moins 3 ans,Nouméa,MALONGO CAFE STORE,98800 Nouméa,"Diriger et gérer un ensemble, une structure, une organisation,Organiser, coordonner un événement,Superviser la gestion des stocks,Utiliser les outils bureautiques,Réaliser les ouvertures et fermetures du site,Alimenter un tableau de bord,Gérer l'entretien des équipements et installations,Assurer la gestion administrative d'une activité,Coordonner les activités entre la cuisine et la salle,Organiser et contrôler un approvisionnement,Utiliser des logiciels spécifiques,Contrôler les règles de Qualité, Hygiène, Sécurité, Santé et Environnement (QHSSE)","Normes de sécurité des espaces et des établissements recevant du public,Système Hazard Analysis Critical Control Point (HACCP),Techniques de vente,Préparations culinaires de base",cv@cafestore.nc
F1106,2025-05-05,Chargé / Chargée d'affaires BTP,2025-04-28 20:53:28+00,"",BTS Etudes et economie de la construction,6 mois,1,2025-04-021712,2025-04-28 20:53:28+00,Bac +2,Au moins 10 ans,Nouméa,Anonyme,,"Constituer un dossier de consultation d'entreprises,Sélectionner les moyens et les méthodes à mettre en oeuvre et planifier les opérations de chantier,Communiquer à l'oral en milieu professionnel,Analyser les choix techniques et définir les équipements, les matériaux en fonction des contraintes de la réglementation, du terrain, du coût,Gérer une base documentaire,Lancer et gérer un appel d'offres,Superviser et contrôler l'exécution d'études, de documents et de plans de détails confiés aux bureaux d'études,Organiser et conduire des travaux, un chantier,Identifier et sélectionner des fournisseurs, sous-traitants, prestataires,Suivre et mettre à jour l'information technique, économique, réglementaire..,Définir un avant-projet,Suivre l'état d'avancement des travaux jusqu'à réception,Réaliser des mesures de locaux et les calculs de surfaces,Contrôler la qualité et la conformité d'un bâtiment, d'une infrastructure,Estimer les coûts et les délais d'une activité ou d'une prestation,Analyser les données économiques du projet,Contrôler la réalisation d'un projet,Concevoir un projet architectural ou d'aménagement,Transmettre de l'information,Collecter et analyser des informations,Inventorier les contraintes de construction d'un ouvrage,Contrôler la conformité des travaux jusqu'à réception,Animer, coordonner une équipe,Déterminer des mesures correctives,Rédiger un cahier des charges, des spécifications techniques,Concevoir et gérer un projet,Définir la faisabilité et la rentabilité d'un projet,Créer un dessin technique, un plan, ou une carte,Comprendre, interpréter des données et documents techniques,Elaborer des solutions techniques et financières,Favoriser l'entente, la communication et relayer les informations,Coordonner l'ensemble des acteurs du projet pour la bonne réalisation du plan d'exécution,Évaluer, prévenir, et gérer les risques et la sécurité,Evaluer le coût des opérations pour un projet,Analyser les besoins du client,Piloter un projet,Tracer les plans ou croquis d'un ouvrage,Concevoir le dossier minute d'un ouvrage,Réaliser un appel d'offre,Réaliser un avant-projet,Etablir un cahier des charges","Building Information Modelling (BIM),Techniques d'amélioration énergétique des bâtiments,Calcul technique,Cahier des Clauses Administratives Particulières (CCAP),Construction durable (Ecoconstruction),Chiffrage/calcul de coût,Cahier des Clauses Techniques Particulières -CCTP-,Méthode des déboursés,Conception et Dessin Assistés par Ordinateur (CAO/DAO),Droit de l'urbanisme et de la construction,Economie de la construction,Gestion de projet,Code des marchés publics",ger.adt.nc@gmail.com
G1503,2025-04-03,Aide gouvernant / Aide gouvernante en hôtellerie,2025-04-03 12:50:15+00,Dès que possible,,6 mois,1,2025-04-021521,2025-04-03 12:31:23+00,"CAP, BEP",Au moins 3 ans,Nouméa,ABC DU PROPRE,98800 Nouméa,"Communiquer à l'oral en langue étrangère,Contrôler la réalisation et les coûts d¿une prestation,Développer et fidéliser la relation client,Réaliser une veille documentaire,Réaliser un inventaire,Organiser le travail d'une équipe,Évaluer des acquis d'apprentissage, de formation ou d'expérience,Contrôler la conformité d'un équipement, d'une machine, d'une installation,Approvisionner un chariot de ménage/chariot de linge,Définir des besoins en approvisionnement,Gérer une situation conflictuelle,Entretenir, nettoyer un espace, un lieu, un local,Organiser le traitement des commandes,Animer, coordonner une équipe,Analyser, exploiter, structurer des données,Recueillir l'avis et les remarques d'un client,Recruter et intégrer une personne,Informer, renseigner, orienter une personne sur les prestations et services proposés,Diriger et gérer un ensemble, une structure, une organisation,Utiliser les outils bureautiques,Expliquer et faire respecter les règles et procédures,Respecter les règles de Qualité, Hygiène, Sécurité, Santé et Environnement (QHSSE),Transmettre un avis ou une remarque client au service concerné,Contrôler l'état des stocks,Sensibiliser le personnel à l'organisation, la qualité, la sécurité,Contrôler la conformité des données ou des documents,Contrôler l'état de propreté d'un lieu",,gerance.abc.dupropre@gmail.com
N4105,2025-04-24,Aide-livreur / Aide-livreuse,2025-04-24 11:24:35+00,Dès que possible,,3 mois,1,2025-04-021685,2025-04-24 11:24:35+00,"CAP, BEP",Au moins 1 an,Nouméa,SARL Pizzeria Sainte Marie,98800 NOUMEA,"Livrer des repas à domicile,Conduire un véhicule léger,Respecter les règles de Qualité, Hygiène, Sécurité, Santé et Environnement (QHSSE),Définir un itinéraire en fonction des consignes de livraison",,philippe.lambert.nc@gmail.com
H1206,2025-04-11,Chef de projet recherche et développement en industrie,2025-04-11 09:40:52+00,Dès que possible,Bac + 4 en gestion de projet d’infra,6 mois,1,2025-04-021586,2025-04-11 09:40:52+00,"Bac + 3, bac + 4",Au moins 5 ans,Païta,CCI-NC,98849 Nouméa Cédex,"Analyser une situation et produire un diagnostic,Contrôler la réalisation et les coûts d¿une prestation,Intégrer l'éco-responsabilité dans toutes les dimensions de son activité,Convaincre, négocier,Prendre la parole en public,Structurer, synthétiser des informations,Identifier et sélectionner des fournisseurs, sous-traitants, prestataires,Réaliser une veille technique ou technologique pour anticiper les évolutions,Concevoir et animer une démarche d'innovation,Développer des partenariats de recherche et de développement,Conduire des travaux d'études et de recherche,Coordonner des partenariats de recherche et de développement,Rendre compte de son activité,Développer et gérer des relations interpersonnelles,Rédiger un cahier des charges, des spécifications techniques,Veiller à la sécurité juridique d'une décision, d'un projet,Identifier les contraintes d'un projet,Réaliser une étude d'opportunité et de faisabilité technique et économique,Concevoir et gérer un projet,Créer une documentation technique,Concevoir des outils de pilotage, indicateurs, tableaux de bord,Élaborer des processus et des modes opératoires techniques,Utiliser les outils collaboratifs,Organiser et développer son réseau professionnel,Préparer et animer une réunion, un groupe de travail, un atelier,Concevoir des modèles théoriques (calcul, simulation, modélisation),Concevoir et coordonner un programme, un projet de recherche,Élaborer des propositions techniques,Participer à un travail collaboratif,Élaborer un dossier de certification,Manager des équipes projets,Travailler en réseau,Actualiser régulièrement ses connaissances,Analyser la qualité des process,Transmettre de l'information,Actualiser des dossiers techniques de définition du projet,Contrôler la conformité des données ou des documents,Collecter et analyser des informations,Négocier un contrat,Coordonner l'intervention d'équipes pluridisciplinaires",,
M1801,2025-03-20,Administrateur / Administratrice système et réseaux d'information et de communication,2025-03-20 11:09:08+00,Dès que possible,Administrateur systèmes et réseaux IT,,1,2025-03-021379,2025-03-20 11:09:08+00,Bac +2,Au moins 3 ans,Nouméa,EPI,98800 NOUMEA CEDEX,"Concevoir et gérer un projet,Administrer un système d'informations,Évaluer, prévenir, et gérer les risques et la sécurité,Communiquer auprès de ses clients internes et externes,Structurer, synthétiser des informations,Gérer et maintenir la conformité d'un processus ou d'une solution,Déterminer les causes de dysfonctionnements,Sélectionner les équipements informatiques,Réaliser une veille technique ou technologique pour anticiper les évolutions,Améliorer un système d'information,Conseiller des équipes de développement, de production et des utilisateurs,Gérer les droits d'accès des utilisateurs,Organiser et gérer la prévention et le traitement des incidents et dysfonctionnements.,Attribuer des ressources logistiques et matérielles de réseaux,Analyser les performances d'un système d'information","Système d'exploitation Windows,Système d'exploitation informatique VMWare (virtualisation d'architecture),Système de messagerie,Principes d'intégration de matériels et de logiciels,Normes qualité,Système réseau (LAN, MAN, WAN),Règlement Général européen sur la Protection des Données (RGPD),Protection des données numériques,Règles d'installation informatiques,Infogérance / télémaintenance",emploi.nc@engie.com
N1302,2025-04-11,Responsable d'entrepôt,2025-04-11 14:18:49+00,Dès que possible,Logistique - Technique,3 mois,1,2025-04-021593,2025-04-11 14:18:49+00,Bac +2,Au moins 3 ans,Nouméa,Anonyme,,"Négocier des délais, des quantités, des conditions de livraison avec les fournisseurs et avec les transporteurs,Superviser la planification de l'exploitation du ou des sites logistiques en fonction de l'activité (flux internes/externes, commandes spécifiques, ...),Organiser une opération logistique de transport,Définir la stratégie logistique d'une structure,Respecter les règles de Qualité, Hygiène, Sécurité, Santé et Environnement (QHSSE),Organiser le travail d'une équipe,Réaliser une opération logistique,Superviser les activités de magasinage et de préparation de commandes,Contrôler les règles de Qualité, Hygiène, Sécurité, Santé et Environnement (QHSSE),Gérer un parc de machines, d'équipements, de locaux","Modalités de stockage,Organisation et gestion d'un site d'entreposage,Règles d'hygiène et de sécurité,Organisation de la chaîne logistique",rhpro@canl.nc
M1608,2025-04-14,Secrétaire comptable,2025-04-14 07:01:35+00,Dès que possible,,2 mois,1,2025-04-021598,2025-04-14 07:01:35+00,Bac +2,Au moins 1 an,Païta,Résidence des Pavillons d'Eugénie,98890,"Concevoir des supports de suivi et de gestion,Développer et fidéliser la relation client,Établir, mettre à jour un dossier, une base de données,Piloter une activité,Utiliser les outils bureautiques,Effectuer le suivi des commandes, la facturation,Appliquer un cadre juridique ou réglementaire,Réaliser une veille documentaire,Réaliser la gestion administrative du personnel,Structurer, synthétiser des informations,Assurer un accueil téléphonique,Contrôler l'état des stocks,Réaliser des opérations comptables,Établir un reporting de trésorerie,Définir des besoins en approvisionnement,Collecter les éléments d'activité du personnel,Établir un état de rapprochement bancaire,Organiser le traitement des commandes,Acceuillir, orienter, informer une personne,Préparer les éléments constitutifs de la paie","Gestion administrative du courrier,Méthode de classement et d'archivage,Comptabilité générale,Modalités d'accueil,Logiciels comptables",assistant.direction@rpe.nc
G1602,2025-04-13,Cuisinier / Cuisinière,2025-04-14 07:36:37+00,Dès que possible,Cuisine Indienne Africine Epicés,1 mois,1,2025-04-021597,2025-04-13 19:16:37+00,"CAP, BEP",Au moins 3 ans,Nouméa,REFLET DES ILES,98800 Nouméa,"Préparer des plats cuisinés,Cuisiner des sauces,Cuire des viandes, poissons ou légumes,Contrôler l'état des stocks,Organiser le traitement des commandes,Éplucher des légumes et des fruits,Dresser des plats pour le service,Manipuler des équipements de cuisine,Préparer les viandes et les poissons,Réceptionner des produits, des matières premières, vérifier la conformité d'une livraison","Cuisine du monde,Procédures de nettoyage et de désinfection,Types de viande,Règles et consignes de sécurité,Conditionnement des aliments,Chaîne du froid,Familles de produits alimentaires,Types de produits traiteurs,Utilisation de plaques de cuisson,Modes de cuisson des aliments,Utilisation d'outils tranchants (couteaux, hachoirs, ...),Variétés de fruits et légumes,Utilisation de four (à chaleur tournante, à air pulsé, ...),Règles d'hygiène et de sécurité alimentaire,Modes de conservation des produits alimentaires",lerefletdesileskmr@gmail.com
I1306,2025-04-14,Technicien / Technicienne frigoriste,2025-04-14 09:00:30+00,Dès que possible,,3 mois,1,2025-04-021600,2025-04-14 09:00:30+00,"Bac, bac professionnel",Au moins 3 ans,Dumbéa,Anonyme,,"Contrôler l'étanchéité,Positionner et fixer les groupes, condenseurs, tubes, câbles électriques,Déterminer la charge de fluide frigorigène,Surveiller le fonctionnement d'installations frigorifiques,Rédiger un rapport d'intervention pour rendre compte de la situation,Déterminer des éléments d'équipements frigorifiques ou de conditionnement d'air (puissance, implantation, ...),Participer à la mise en service des installations,Identifier les phases d'intervention,Déposer les appareils et tuyauteries obsolètes (changement, rénovation),Tirer au vide l'installation et charger le circuit,Réaliser des opérations de soudage,Réparer un équipement, une machine, une installation,Réparer des installations défectueuses sur la base d'un diagnostic,Préparer et suivre l'exécution des réparations,Entretenir des équipements de cuisine professionnelle,Réaliser un diagnostic technique",,thermoparts@mls.nc
C1103,2025-03-26,Courtier / Courtière en assurances,2025-03-26 18:04:40+00,Dès que possible,"finance, gestion ou école de commerce",,1,2025-03-021451,2025-03-26 18:04:40+00,"Bac + 3, bac + 4",Au moins 5 ans,Nouméa,IFP PATRIMOINE,98807 NOUMEA CEDEX,"Conseiller dans le cadre d'une relation commerciale,Réaliser des opérations de marché financier,Développer et fidéliser la relation client,Diriger et gérer un ensemble, une structure, une organisation,Établir, mettre à jour un dossier, une base de données,Actualiser un contrat,Réaliser un suivi financier,Gérer un réseau d'apporteurs d'affaires,Présenter les clauses d'un contrat,Réaliser le suivi des dossiers clients et prospects,Établir un devis,Concevoir une proposition de contrat,Coordonner la gestion de sinistres,Animer, coordonner une équipe,Contrôler la conformité des données ou des documents,Prévenir et résoudre les conflits,Développer un réseau d'apporteurs d'affaires,Développer un portefeuille clients et prospects",,brouveyrol@ifp.nc
M1608,2025-03-24,Secrétaire comptable,2025-03-24 08:20:22+00,Dès que possible,BTS,,1,2025-03-021408,2025-03-24 07:33:58+00,Bac +2,Au moins 3 ans,Nouméa,AXA,98846 NOUMEA CEDEX,"Concevoir des supports de suivi et de gestion,Établir, mettre à jour un dossier, une base de données,Utiliser les outils bureautiques,Effectuer le suivi des commandes, la facturation,Gérer la trésorerie, le recouvrement,Structurer, synthétiser des informations,Rédiger un rapport, un compte rendu d'activité,Assurer un accueil téléphonique,Contrôler l'état des stocks,Réaliser des opérations comptables,Définir des besoins en approvisionnement,Établir un état de rapprochement bancaire,Classer des documents,Organiser le traitement des commandes,Acceuillir, orienter, informer une personne","Méthode de classement et d'archivage,Comptabilité générale,Logiciels comptables",ressourceshumaines.noumeacentre@axa.nc
K2503,2025-04-15,Agent / Agente de sécurité,2025-04-15 10:59:52+00,Dès que possible,,,2,2025-04-021611,2025-04-15 10:59:52+00,Certification locale,Au moins 1 an,Nouméa,Anonyme,,"Accueillir, orienter et renseigner un client,Communiquer à l'oral en milieu professionnel,Rédiger un rapport, un compte rendu d'activité,Renseigner les supports de contrôle et de constat,Adapter son discours selon l'interlocuteur,Rendre compte de son action, de risques ou d'anomalies au responsable,Évacuer les personnes, les mettre en sécurité en cas d'accident, d'incendie et guider les secours,Déclencher les mesures d'urgence en cas d'incident,Contrôler une zone sensible,Gérer une situation conflictuelle,Transmettre de l'information,Repérer les anomalies, incidents et informer les forces de l'ordre et les clients,Protéger des personnes et des biens,Contrôler l'accès et la circulation des personnes,Détecter les comportements suspects","Protection des personnes,Techniques de communication orales, écrites et numériques,Habilitation Agent de prévention et de sécurité,Protection des biens,Utilisation d'outils de radiocommunication",rh.compta@atv.nc
J1307,2025-04-15,Aide-préparateur / Aide-préparatrice en pharmacie,2025-04-15 16:47:32+00,Dès que possible,PREPARATEUR EN PHARMACIE,4 mois,1,2025-04-021616,2025-04-15 16:47:32+00,Bac +2,Au moins 5 ans,Pouembout,PHARMACIE DE POUEMBOUT,98825 POUEMBOUT,"Délivrer une prescription médicale,Réaliser des préparations pharmaceutiques,Désinfecter et décontaminer un équipement,Conclure une transaction,Contrôler l'état des stocks,Contrôler la modalité de délivrance de certains médicaments spécifiques (stupéfiants, ¿),Établir des éléments d'une commande,Détruire des déchets,Contrôler la conformité d'un équipement, d'une machine, d'une installation,Définir des besoins en approvisionnement,Transmettre de l'information,Contrôler la conformité des données ou des documents,Conditionner un produit pharmaceutique,Identifier la demande du service de soins ou du patient,Réceptionner des produits, des matières premières, vérifier la conformité d'une livraison","Argumentation commerciale,Homéopathie,Techniques de vente,Modalités de stockage des produits pharmaceutiques,Phytothérapie,Réglementation des médicaments à statut particulier (stupéfiants, substances toxiques, ...),Règles d'hygiène et d'asepsie",nicopouembout@mls.nc
M1805,2025-03-17,Développeur / Développeuse full-stack,2025-03-17 10:15:13+00,Dès que possible,,,1,2025-03-021340,2025-03-17 10:15:13+00,"Bac + 3, bac + 4",Au moins 10 ans,Nouméa,CAN'L / GO TV,98845 NOUMEA CEDEX,"Concevoir et gérer un projet,Garantir le bon fonctionnement, la disponibilité et la performance d'une solution logicielle,Concevoir et développer une solution digitale,Accompagner l'appropriation d'un outil par ses utilisateurs,Tester un logiciel, un système d'informations, une application,Préparer et animer une réunion, un groupe de travail, un atelier,Structurer, synthétiser des informations,Proposer des pistes d'amélioration des solutions,Actualiser régulièrement ses connaissances,Paramétrer un logiciel, un outil, un système numérique,Déterminer des mesures correctives,Analyser, exploiter, structurer des données,Rédiger un cahier des charges, des spécifications techniques,Développer un logiciel, un système d'informations, une application,Concevoir l'architecture d'un système, d'un réseau,Surveiller le fonctionnement d'applicatifs et logiciels",,resprh@cipac.nc
M1707,2025-04-16,Responsable développement / Business Developer,2025-04-16 12:03:52+00,Dès que possible,commerce,,1,2025-04-021621,2025-04-16 12:03:52+00,Bac + 5 et plus,Au moins 5 ans,Nouméa,CUBE.NC,98845 Nouméa Cédex,"Élaborer, suivre et piloter un budget,Concevoir et gérer un projet,Concevoir des supports de suivi et de gestion,Développer et fidéliser la relation client,Établir les modalités de règlement d'un litige ou transmettre aux services juridiques, contentieux,Piloter une activité,Préparer et animer une réunion, un groupe de travail, un atelier,Organiser l'activité commerciale export d'une entreprise,Mettre en oeuvre une stratégie commerciale,Déterminer le potentiel d'un client ou prospect,Rechercher et identifier des évolutions de marchés, des marchés potentiels,Prospecter de nouveaux clients, de nouveaux marchés,Rédiger un cahier des charges, des spécifications techniques,Analyser, exploiter, structurer des données,Réaliser une veille de marché, une veille concurrentielle,Développer un portefeuille clients et prospects,Élaborer une stratégie commerciale","Logiciel de gestion clients,Réglementation des douanes,Techniques de vente,Techniques d'affacturage,Données d'activité de la structure, du service,Outils de planification,Techniques commerciales,Analyse statistique,Droit commercial",resprh@cipac.nc
D1407,2025-04-16,Attaché technico-commercial / Attachée technico-commerciale,2025-04-16 12:10:28+00,Dès que possible,commerce,,1,2025-04-021623,2025-04-16 12:10:28+00,"Bac + 3, bac + 4",Au moins 3 ans,Nouméa,PRO 10,98846 NOUMEA CEDEX,"Développer et fidéliser la relation client,Mettre en oeuvre des actions commerciales et promotionnelles,Utiliser les outils bureautiques,Effectuer le suivi des commandes, la facturation,Établir un contrat de vente,Lancer et gérer un appel d'offres,Analyser les résultats des ventes,Analyser une réponse à un appel d'offres,Établir un plan de tournée de prospection (ciblage, interlocuteurs, préparation de dossiers techniques),Établir un devis,Mettre en oeuvre des actions de communication,Rédiger un cahier des charges, des spécifications techniques,Négocier un contrat,Réaliser une étude d'opportunité et de faisabilité technique et économique,Élaborer une stratégie commerciale,Évaluer la mise en oeuvre d'un projet, plan d'action","Logiciel de gestion clients,Procédures d'appels d'offres,Organisation de la chaîne logistique,Techniques commerciales,Anglais des affaires",resprh@cipac.nc
A1203,2025-04-16,Ouvrier / Ouvrière des espaces verts,2025-04-16 18:03:08+00,Dès que possible,,1 mois,1,2025-04-021634,2025-04-16 18:03:08+00,,Au moins 3 ans,Mont-Dore (Le),Anonyme,,"Tailler les arbres,Élaguer les branches d'un arbre,Aménager, entretenir un espace vert",,secretariat.ideeovert@gmail.com
